Reference,debt_id,ultima_atualizacao,pago_banco_plano_liq,divida_bravo,negociador,pago_a_banco_atualizado,diferenca_plano_liq,diferenca_divida_bravo,atualizado_por,instituicao_divida,start_date,status_divida,creditor,product_type,observacao,classificação
BR0003557,1162238,,2027.64,5042.52,myrella.isidoro@gobravo.com.br,,,,,Sicoob,2023-03-20,new,,Crédito pessoal,,gap5
BR0003606,1166467,,83.52,120.02,matheus.adalberto@gobravo.com.br,,,,,Sicoob,2023-03-23,new,,Crédito pessoal,,batch1
BR0003606,1166468,,125.1,179.75,matheus.adalberto@gobravo.com.br,,,,,Sicoob,2023-03-23,new,,Crédito pessoal,,batch1
BR0003606,1166472,,10799.31,16852.16,matheus.adalberto@gobravo.com.br,,,,,Sicoob,2023-03-23,new,,Crédito pessoal,,batch1
BR0000956,1207175,,90.04,533,daniel.correia@gobravo.com.br,,,,vinicius.hidalgo@gobravo.com.br,Banco do Brasil,2022-09-05,client_settled_outside,Próprio Credor,,Marcada por el END con correo vinicius.hidalgo@gobravo.com.br,batch1
BR0004595,1238566,,418.95,602,,,,,,Neon,,new,,Crédito pessoal,,batch1
BR0004595,1238567,,420.34,604,,,,,,Nubank,,new,,Cartão de crédito,,batch1
BR0004595,1238568,,482.98,694,,,,,,Renner,,new,,Cartão de crédito,,batch1
BR0004595,1238569,,555.73,976,,,,,,DIGIO,,new,,Cartão de crédito,,batch1
BR0004595,1238570,,854.66,1501,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0004595,1238571,,1245.7,1790,,,,,,Neon,,new,,Cartão de crédito,,batch1
BR0004595,1238572,,5495.26,9916.8,,,,,,Zema,,new,,Crédito pessoal,,batch1
BR0004595,1238574,,14150.08,22081,,,,,,Sicoob,,new,,Crédito pessoal,,batch1
BR0004294,1247665,,238.86,707,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Original,2023-06-23,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0004294,1247671,,588.55,1794,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Original,2023-06-23,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0004294,1247672,,553.12,1815,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Original,2023-06-23,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0004959,1252080,,478.37,1397,felipe.dasilva@gobravo.com.br,,,,kemilly.freitas@gobravo.com.br,BTG,2023-07-03,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail kemilly.freitas@gobravo.com.br,batch1
BR0004990,1254043,,438,629.38,adriana.rocha@gobravo.com.br,,,,geovanna.alves@gobravo.com.br,Nubank,2023-07-03,client_settled_outside,Próprio Credor,Cartão de crédito,Marcada por el END con correo geovanna.alves@gobravo.com.br,gap5
BR0005330,1268255,,388.38,627.04,richard.meireles@gobravo.com.br,,,,,Agil,2023-08-04,new,,Crédito pessoal,,batch1
BR0005330,1268261,,5465.26,13591.48,richard.meireles@gobravo.com.br,,,,,Mercadopago,2023-08-04,new,,Cartão de crédito,,batch1
BR0005468,1274735,,179.43,257.83,,,,,,Havan,,new,,Cartão de crédito,,batch1
BR0005468,1274736,,175.55,301.62,,,,,,Banrisul,,new,,Crédito pessoal,,batch1
BR0005468,1274737,,208.07,365.43,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0005468,1274738,,244.37,429.17,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0005468,1274739,,591.54,850,,,,,,Carrefour,,new,,Cartão de crédito,,batch1
BR0005468,1274740,,555.12,866.7,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0005468,1274741,,527.96,902.5,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0005468,1274742,,746.84,1295.91,,,,,,SUPERSIM,,new,,Crédito pessoal,,batch1
BR0005468,1274743,,826.05,2900,,,,,,Banrisul,,new,,Crédito pessoal,,batch1
BR0005468,1274744,,2306.98,3600,,,,,,Agil,,new,,Crédito pessoal,,batch1
BR0005468,1275746,,2306.98,3600,felipe.dasilva@gobravo.com.br,,,,,Agil,2023-08-04,new,,Crédito pessoal,,batch1
BR0005790,1284623,,489.86,790.88,matheus.adalberto@gobravo.com.br,,,,,Agil,2023-09-06,new,,Crédito pessoal,,batch1
BR0005790,1284627,,1263.02,3140.97,matheus.adalberto@gobravo.com.br,,,,,Agil,2023-09-06,new,,Crédito pessoal,,batch1
BR0005790,1284628,,1637.53,4072.32,matheus.adalberto@gobravo.com.br,,,,,Agil,2023-09-06,new,,Crédito pessoal,,batch1
BR0005254,1288965,,1936.7,5424,beatriz.moraes@gobravo.com.br,,,,kemilly.freitas@gobravo.com.br,Nubank,2023-08-01,client_settled_outside,Próprio Credor,,Marcado pelo END com e-mail kemilly.freitas@gobravo.com.br,batch1
BR0006202,1295490,,126.54,250,rodrigo.pereira@gobravo.com.br,,,,rodrigo.pereira@gobravo.com.br,Santander,2023-09-01,paid,Próprio Credor,Cartão de crédito,Marcada por el END con correo rodrigo.pereira@gobravo.com.br,batch1
BR0006202,1295503,,3454.57,13477,rodrigo.pereira@gobravo.com.br,,,,rodrigo.pereira@gobravo.com.br,Santander,2023-09-01,paid,Próprio Credor,Crédito pessoal,Marcada por el END con correo rodrigo.pereira@gobravo.com.br,batch1
BR0006238,1297201,,539.7,775.52,daniel.correia@gobravo.com.br,,,,vinicius.hidalgo@gobravo.com.br,Carrefour,2023-08-30,client_settled_outside,Próprio Credor,Cartão de crédito,Marcada por el END con correo vinicius.hidalgo@gobravo.com.br,batch1
BR0006340,1301112,,1215.81,2823.01,felipe.dasilva@gobravo.com.br,,,,murilo.coelho@gobravo.com.br,Nubank,2023-08-31,client_settled_outside,Acordo Certo,Crédito pessoal,Marcado pelo END com e-mail murilo.coelho@gobravo.com.br,batch1
BR0006362,1302083,,1993.6,3639.4,antonio.neto@gobravo.com.br,,,,kemilly.freitas@gobravo.com.br,Crefaz,2023-09-04,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail kemilly.freitas@gobravo.com.br,batch1
BR0006410,1303273,,2122.62,3426.96,richard.meireles@gobravo.com.br,,,,,Sicoob,2023-09-06,new,,Cartão de crédito,,batch1
BR0006410,1303274,,15354.47,38184.82,richard.meireles@gobravo.com.br,,,,,Sicoob,2023-09-06,new,,Crédito pessoal,,batch1
BR0006546,1307601,,131.88,651.45,antonio.neto@gobravo.com.br,,,,antonio.neto@gobravo.com.br,Votorantim,2023-10-06,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail antonio.neto@gobravo.com.br,gap5
BR0006657,1310198,,174.41,281.58,,,,,,Agil,,new,,Crédito pessoal,,batch1
BR0006657,1310199,,192.62,310.98,,,,,,SUPERSIM,,new,,Crédito pessoal,,batch1
BR0006657,1310200,,315.5,509.37,,,,,,SUPERSIM,,new,,Crédito pessoal,,batch1
BR0006657,1310201,,1096.88,1770.9,,,,,,Agil,,new,,Crédito pessoal,,batch1
BR0006657,1310202,,925.55,1826.36,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0006657,1310203,,778.84,1899.23,,,,,,Bradesco,,new,,Crédito pessoal,,batch1
BR0006657,1310204,,1219.26,2746.79,,,,,,Original,,new,,Crédito pessoal,,batch1
BR0006657,1310205,,824.25,3602.51,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0006657,1310206,,940.29,4389.04,,,,,,Bradesco,,new,,Crédito pessoal,,batch1
BR0006657,1310207,,721.96,4669.89,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0006657,1310208,,1191,7404.68,,,,,,Bradesco,,new,,Crédito pessoal,,batch1
BR0006665,1313796,,219.33,423.37,giulia.filardi@gobravo.com.br,,,,,BRB,2023-09-29,new,,Cartão de crédito,,batch1
BR0006665,1313805,,1499.84,5683.45,antonio.neto@gobravo.com.br,,,,antonio.neto@gobravo.com.br,Itaú,2023-09-29,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail antonio.neto@gobravo.com.br,batch1
BR0006665,1313810,,1259.95,7833.38,giulia.filardi@gobravo.com.br,,,,,BRB,2023-09-29,new,,Cartão de crédito,,batch1
BR0006665,1313815,,3637.21,22613.28,giulia.filardi@gobravo.com.br,,,,,BRB,2023-09-29,new,,Cartão de crédito,,batch1
BR0006657,1316388,,810.96,1899.23,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Bradesco,2023-09-28,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0006657,1316390,,1333.71,4389.04,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Bradesco,2023-09-28,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0006657,1316391,,1898.05,7404.68,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Bradesco,2023-09-28,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0007036,1325692,,3123.87,20206.4,myrella.isidoro@gobravo.com.br,,,,,Sicredi,2023-10-06,new,,Crédito pessoal,,batch1
BR0007248,1328238,,469.27,926,,,,,,Itaú,,new,,Crédito cheque especial,,batch1
BR0007248,1328239,,3392.47,21091.71,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0007248,1328241,,469.27,926,,,,,,Itaú,,new,,Crédito cheque especial,,batch1
BR0007248,1328242,,3392.47,21091.71,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0007248,1328244,,469.27,926,,,,,,Itaú,,new,,Crédito cheque especial,,batch1
BR0007248,1328245,,3392.47,21091.71,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0007248,1328247,,469.27,926,,,,,,Itaú,,new,,Crédito cheque especial,,batch1
BR0007248,1328248,,3392.47,21091.71,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0007520,1336424,,527.25,757.62,matheus.adalberto@gobravo.com.br,,,,,Sicoob,2023-10-10,new,,Cartão de crédito,,batch1
BR0007638,1341110,,8111.17,25347.41,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Original,2023-11-01,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0007796,1343759,,698.15,4340.5,richard.meireles@gobravo.com.br,,,,,Banco Continental S.A. (NBC),2023-11-01,new,,Cartão de crédito,,batch1
BR0007970,1348014,,353.83,766.33,felipe.dasilva@gobravo.com.br,,,,,Caixa,2023-10-23,new,,Cartão de crédito,,batch1
BR0007970,1348015,,391.39,973.5,felipe.dasilva@gobravo.com.br,,,,,Caixa,2023-10-23,new,,Cartão de crédito,,batch1
BR0008267,1354695,,461.68,745.37,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0008267,1354696,,586.33,946.64,,,,,,Facta Financeira,,new,,Crédito pessoal,,batch1
BR0008267,1354697,,511.27,1008.88,,,,,,C6,,new,,Crédito pessoal,,batch1
BR0008267,1354698,,691.69,1116.72,,,,,,Original,,new,,Cartão de crédito,,batch1
BR0008267,1354699,,1078.48,1741.21,,,,,,Carrefour,,new,,Cartão de crédito,,batch1
BR0008267,1354700,,1194.61,2599.95,,,,,,Itaú,,new,,Crédito pessoal,,batch1
BR0008267,1354701,,1481.85,2755.43,,,,,,Original,,new,,Cartão de crédito,,batch1
BR0008267,1354702,,880.98,2834.16,,,,,,DIGIO,,new,,Crédito pessoal,,batch1
BR0008267,1354703,,1119.11,3855.22,,,,,,Safra,,new,,Crédito pessoal,,batch1
BR0008267,1354704,,1925.43,4583.56,,,,,,Carrefour,,new,,Cartão de crédito,,batch1
BR0008267,1354705,,1301.64,6738.2,,,,,,BMG,,new,,Crédito pessoal,,batch1
BR0008267,1354706,,3159.18,19641.33,,,,,,Santander,,new,,Crédito pessoal,,batch1
BR0008175,1356062,,1181.45,2280.64,giulia.filardi@gobravo.com.br,,,,,Caixa,2023-10-03,new,,Cartão de crédito,,gap5
BR0008326,1356352,,3080.75,7992.7,richard.meireles@gobravo.com.br,,,,,Caixa,2023-11-01,new,,Crédito cheque especial,,batch1
BR0008267,1356401,,686.31,1741.21,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Carrefour,2023-11-01,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0008267,1356404,,1636.62,4583.56,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Carrefour,2023-11-01,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0008729,1364465,,446.18,990.5,giulia.filardi@gobravo.com.br,,,,,Carrefour,2023-11-10,new,,Cartão de crédito,,batch1
BR0008729,1364469,,809.26,2395.33,giulia.filardi@gobravo.com.br,,,,,Itaú,2023-11-10,new,,Cartão de crédito,,batch1
BR0008729,1364472,,1561.21,10300.52,giulia.filardi@gobravo.com.br,,,,,Itaú,2023-11-10,new,,Cartão de crédito,,batch1
BR0008842,1366322,,1812.33,3576.22,giulia.filardi@gobravo.com.br,,,,,Bradesco,2023-12-01,new,,Cartão de crédito,,batch1
BR0008842,1366323,,2340.8,8870.19,giulia.filardi@gobravo.com.br,,,,,Bradesco,2023-12-01,new,,Crédito pessoal,,batch1
BR0008893,1367242,,893.2,3391.62,matheus.adalberto@gobravo.com.br,,,,,Caixa,2023-11-14,new,,Crédito pessoal,,batch1
BR0008949,1369910,,1911.09,5225.87,izac.santiago@gobravo.com.br,,,,kemilly.freitas@gobravo.com.br,Itaú,2023-11-30,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail kemilly.freitas@gobravo.com.br,batch1
BR0009160,1375309,,6207.9,11316.98,giulia.filardi@gobravo.com.br,,,,,WILL,2023-11-23,new,,Cartão de crédito,,batch1
BR0009202,1376432,,1141.78,1961.66,felipe.dasilva@gobravo.com.br,,,,,Caixa,2023-12-06,new,,Cartão de crédito,,batch1
BR0009202,1376436,,1437.4,2457.12,felipe.dasilva@gobravo.com.br,,,,,Jeitto,2023-12-06,new,,Crédito pessoal,,batch1
BR0009133,1376485,,1369.79,1968.3,felipe.dasilva@gobravo.com.br,,,,,Agil,2023-11-30,new,,Cartão de crédito,,batch1
BR0009491,1384949,,1133.72,3200,myrella.isidoro@gobravo.com.br,,,,myrella.isidoro@gobravo.com.br,Pernambucanas,2023-12-05,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail myrella.isidoro@gobravo.com.br,batch1
BR0009520,1385156,,1344.27,2309.55,beatriz.moraes@gobravo.com.br,,,,,Caixa,2023-12-19,new,,Crédito pessoal,,batch1
BR0009540,1385442,,1108.95,2323.72,richard.meireles@gobravo.com.br,,,,,Caixa,2023-12-05,new,,Cartão de crédito,,batch1
BR0009540,1385443,,1039.54,2623.73,richard.meireles@gobravo.com.br,,,,,Caixa,2023-12-05,new,,Cartão de crédito,,batch1
BR0009599,1386275,,2914.78,9193.14,myrella.isidoro@gobravo.com.br,,,,,Bradesco,2024-01-01,new,,Crédito pessoal,,batch1
BR0009609,1386368,,2120.34,13446.24,beatriz.moraes@gobravo.com.br,,,,,Crefisa,2024-01-01,new,,Crédito pessoal,,batch1
BR0009606,1386608,,5997.59,12006.66,,,,,,Ailos,,new,,Crédito pessoal,,batch1
BR0009658,1387645,,2187.72,4316.96,,,,,,Bradesco,,new,,Crédito cheque especial,,batch1
BR0009658,1387646,,2523.9,6154.65,,,,,,Itaú,,new,,Crédito cheque especial,,batch1
BR0009658,1387647,,3311.5,14473.49,,,,,,Banco do Brasil,,new,,Cartão de crédito,,batch1
BR0009658,1387648,,3705.54,23038.12,,,,,,Banco do Brasil,,new,,Crédito pessoal,,batch1
BR0009659,1389976,,263.66,672.17,felipe.dasilva@gobravo.com.br,,,,,BRB,2024-01-01,new,,Cartão de crédito,,batch1
BR0009849,1394230,,2252.99,4349.1,,,,,,Caixa,,new,,Crédito pessoal,,solo5
BR0009849,1394231,,2305.69,5622.53,,,,,,Sicredi,,new,,Cartão de crédito,,solo5
BR0009849,1394232,,5700.85,13975.84,,,,,,NoVerde,,new,,Crédito pessoal,,solo5
BR0009849,1394233,,7768.75,48300,,,,,,Itaú,,new,,Crédito pessoal,,solo5
BR0010071,1396367,,2826.79,6002.19,,,,,,Caixa,,new,,Cartão de crédito,,batch1
BR0010071,1396368,,2855.25,6762.27,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0010071,1396369,,2710.93,7154.43,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0010071,1396370,,5051.74,12563.11,,,,,,Ailos,,new,,Cartão de crédito,,batch1
BR0009941,1398742,,194.79,279.9,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Nubank,2024-01-01,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0009941,1398743,,305.45,438.91,felipe.dasilva@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,Nubank,2024-01-01,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0009941,1398745,,500.1,859.21,giulia.filardi@gobravo.com.br,,,,,Caixa,2024-01-01,new,,Cartão de crédito,,batch1
BR0009941,1398748,,1029.24,2191.3,giulia.filardi@gobravo.com.br,,,,,Caixa,2024-01-01,new,,Cartão de crédito,,batch1
BR0009951,1400492,,662.22,1680.09,felipe.dasilva@gobravo.com.br,,,,,Caixa,2024-01-01,new,,Crédito pessoal,,batch1
BR0010557,1408720,,375.8,540,richard.meireles@gobravo.com.br,,,,richard.meireles@gobravo.com.br,Original,2024-01-11,client_settled_outside,Próprio Credor,Cartão de crédito,Marcado pelo END com e-mail richard.meireles@gobravo.com.br,batch1
BR0010554,1408989,,2693.8,4628.16,myrella.isidoro@gobravo.com.br,,,,,Sofisa,2024-01-10,new,,Crédito pessoal,,batch1
BR0010554,1408991,,2769.57,8544.61,myrella.isidoro@gobravo.com.br,,,,,Caixa,2024-01-10,new,,Crédito cheque especial,,batch1
BR0010604,1409628,,156.01,301.17,giulia.filardi@gobravo.com.br,,,,,Caixa,2024-02-07,new,,Crédito pessoal,,batch1
BR0010604,1409634,,841.55,2265.35,giulia.filardi@gobravo.com.br,,,,,Mercadopago,2024-02-07,new,,Crédito pessoal,,batch1
BR0010457,1410884,,2355.92,9397.34,giulia.filardi@gobravo.com.br,,,,,Sicredi,2024-02-01,new,,Crédito pessoal,,gap5
BR0010457,1410885,,1904.66,12817.8,giulia.filardi@gobravo.com.br,,,,,Sicredi,2024-02-01,new,,Crédito pessoal,,gap5
BR0010848,1418160,,650.36,1050,,,,,,VIACERTA,,new,,Crédito pessoal,,batch1
BR0010848,1418161,,743.63,1200.6,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0010848,1418162,,746.76,1205.64,,,,,,Jeitto,,new,,Crédito pessoal,,batch1
BR0010848,1418163,,943.48,1523.24,,,,,,WILL,,new,,Crédito pessoal,,batch1
BR0010848,1418164,,1033.82,1800,,,,,,Mercadopago,,new,,Cartão de crédito,,batch1
BR0010848,1418165,,1180.99,2196,,,,,,SUPERSIM,,new,,Crédito pessoal,,batch1
BR0010848,1418166,,1055.84,2234.66,,,,,,Havan,,new,,Crédito pessoal,,batch1
BR0010848,1418167,,1099.07,2427.48,,,,,,VIACERTA,,new,,Crédito pessoal,,batch1
BR0010848,1418168,,1282.96,2978.91,,,,,,Agil,,new,,Crédito pessoal,,batch1
BR0010848,1418169,,1363.46,3409.44,,,,,,VIACERTA,,new,,Crédito pessoal,,batch1
BR0010848,1418170,,1425.47,3761.96,,,,,,Mercadopago,,new,,Crédito pessoal,,batch1
BR0010848,1418171,,3317.94,8251.32,,,,,,Crefaz,,new,,Crédito pessoal,,batch1
BR0010848,1418172,,3913.88,9733.37,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0010878,1418614,,1128.86,1822.55,adriana.rocha@gobravo.com.br,,,,adriana.rocha@gobravo.com.br,Nubank,2024-01-19,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail adriana.rocha@gobravo.com.br,batch1
BR0010878,1418619,,3177,19752.08,felipe.dasilva@gobravo.com.br,,,,,Caixa,2024-01-19,new,,Crédito pessoal,,batch1
BR0010903,1420319,,448.58,975.17,richard.meireles@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,BMG,2024-02-06,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0010903,1420321,,6004.55,17155.87,richard.meireles@gobravo.com.br,,,,felipe.dasilva@gobravo.com.br,C6,2024-02-06,client_settled_outside,Próprio Credor,Crédito pessoal,Marcado pelo END com e-mail felipe.dasilva@gobravo.com.br,batch1
BR0011011,1422952,,405.95,1029.92,giulia.filardi@gobravo.com.br,,,,,Bradesco,2024-02-01,new,,Crédito pessoal,,batch1
BR0011011,1422955,,1195.07,3399.92,giulia.filardi@gobravo.com.br,,,,,Itaú,2024-02-01,new,,Crédito pessoal,,batch1
BR0010953,1423242,,2024.88,3995.64,deisy.dosantos@gobravo.com.br,,,,,Santander,2024-02-01,new,,Cartão de crédito,,batch1
BR0010953,1423243,,3070.21,9683.36,deisy.dosantos@gobravo.com.br,,,,,Itaú,2024-02-01,new,,Cartão de crédito,,batch1
BR0010953,1423244,,2536.28,13129.56,deisy.dosantos@gobravo.com.br,,,,,Santander,2024-02-01,new,,Crédito pessoal,,batch1
BR0011191,1429430,,2031.34,10515.65,giulia.zinngraf@gobravo.com.br,,,,,Caixa,2024-02-01,new,,Crédito pessoal,,batch1
BR0011207,1431394,,374,738,beatriz.moraes@gobravo.com.br,,,,,Bradesco,2024-02-01,new,,Crédito cheque especial,,batch1
BR0011422,1434249,,186.94,1106.64,,,,,,Santander,,new,,Cartão de crédito,,batch1
BR0011422,1434250,,1225.94,2419.11,,,,,,Santander,,new,,Crédito pessoal,,batch1
BR0011422,1434251,,1321.37,2607.41,,,,,,Santander,,new,,Crédito cheque especial,,batch1
BR0011422,1434252,,2616.96,5895.59,,,,,,Nubank,,new,,Crédito pessoal,,batch1
BR0011422,1434253,,2425.34,6064.73,,,,,,Nubank,,new,,Cartão de crédito,,batch1
BR0011422,1434254,,2860.83,17786.37,,,,,,Itaú,,new,,Cartão de crédito,,batch1
BR0011607,1438504,,291.62,1035.8,mariana.melo@gobravo.com.br,,,,,Brasilcard,2024-03-01,new,,Cartão de crédito,,batch1
BR0011607,1438506,,641.68,1564.76,mariana.melo@gobravo.com.br,,,,,Itaú,2024-03-01,new,,Cartão de crédito,,batch1
BR0011607,1438507,,856.91,1930.47,mariana.melo@gobravo.com.br,,,,,VIVO,2024-03-01,new,,Serviços básicos,,batch1
BR0011607,1438508,,804.67,4248.85,mariana.melo@gobravo.com.br,,,,,Itaú,2024-03-01,new,,Cartão de crédito,,batch1
BR0011636,1441689,,1785.52,3446.72,,,,,,Caixa,,new,,Cartão de crédito,,batch1
BR0011636,1441690,,1919.6,3787.89,,,,,,Pan,,new,,Cartão de crédito,,batch1
BR0011636,1441691,,3889.41,16999.35,,,,,,Bradesco,,new,,Cartão de crédito,,batch1
BR0011722,1444913,,4428.4,17116.48,giulia.filardi@gobravo.com.br,,,,,Bradesco,2024-03-01,new,,Cartão de crédito,,batch1
BR0011786,1444982,,1224.36,4941.78,richard.meireles@gobravo.com.br,,,,,Caixa,2024-03-01,new,,Cartão de crédito,,batch1
BR0011786,1444984,,1331.62,5864.4,richard.meireles@gobravo.com.br,,,,,Caixa,2024-03-01,new,,Crédito cheque especial,,batch1
BR0011862,1448383,,318.13,513.62,giulia.filardi@gobravo.com.br,,,,beatriz.moraes@gobravo.com.br,Original,2024-03-01,client_settled_outside,Próprio Credor,Crédito pessoal,Marcada por el END con correo beatriz.moraes@gobravo.com.br,batch1
BR0011884,1449000,,1500.64,3380.7,giulia.filardi@gobravo.com.br,,,,,Mercadopago,2024-02-23,new,,Cartão de crédito,,batch1
BR0011948,1450517,,553.62,1068.69,myrella.isidoro@gobravo.com.br,,,,,Caixa,2024-03-01,new,,Cartão de crédito,,batch1
